year,month,quote
2017,January,"Yvonne Brill.Le New York Times a échoué au test de Finkbeiner en mentionnant le bœuf Stroganov de l’ingénieure Yvonne Brill (photo).
présente 2,5 jours en page d'accueil du 30 janvier 2017 à 00:02:24 au 01 février 2017 à 12:01:08"
2017,January,"Une variété ancienne de Silene stenophylla, une plante herbacée, a été régénérée par culture de tissus de fruits vieux de 32 000 ans, conservés dans le pergélisol sibérien.
présente 2,5 jours en page d'accueil du 30 janvier 2017 à 00:02:24 au 01 février 2017 à 12:01:08"
2017,January,"Publicité par Benjamin Rabier (1926).La vache qui rit (publicité) doit son nom aux Valkyries.
présente 2 jours en page d'accueil du 31 janvier 2017 à 00:02:29 au 02 février 2017 à 00:02:20"
2017,January,"Depuis 62 ans, la commune de Châteauneuf-du-Pape dans le Vaucluse fait parler d’elle en affirmant interdire son survol par les soucoupes volantes.
présente 2 jours en page d'accueil du 31 janvier 2017 à 00:02:29 au 02 février 2017 à 00:02:20"
2017,February,"Drapeau du Togo.Le drapeau du Togo (image) est un rectangle d’or.
présente 1,5 jours en page d'accueil du 01 février 2017 à 00:01:40 au 02 février 2017 à 12:00:58"
2017,February,"En février 2016, la Banque centrale du Bangladesh s’est fait dérober 81 millions de dollars dans un cyber-braquage.
présente 1,5 jours en page d'accueil du 01 février 2017 à 00:01:40 au 02 février 2017 à 12:00:58"
2017,February,"Léopold Ier.Léopold Ier (portrait équestre), le premier roi des Belges, avait servi dans l’armée impériale russe.
présente 1,5 jours en page d'accueil du 01 février 2017 à 12:01:08 au 03 février 2017 à 00:02:10"
2017,February,"Au baseball, il ne fait pas bon être sous la ligne de Mendoza.
présente 1,5 jours en page d'accueil du 01 février 2017 à 12:01:08 au 03 février 2017 à 00:02:10"
2017,February,"Préambule de la Constitution.L’Inde est le pays indépendant qui possède la plus longue constitution écrite (reproduction).
présente 1,5 jours en page d'accueil du 02 février 2017 à 00:02:20 au 03 février 2017 à 12:00:55"
2017,February,"Chaque 2 février, les Nord-Américains célèbrent le jour de la marmotte.
présente 1,5 jours en page d'accueil du 02 février 2017 à 00:02:20 au 03 février 2017 à 12:00:55"
2017,February,"Gravure représentant la nacelle et les marins du Dupuy de Lome actionnant les manivelles à bras.L’aérostat dirigeable Dupuy de Lôme qui s’envola le 2 février 1872 était à propulsion humaine (gravure).
présente 1,5 jours en page d'accueil du 02 février 2017 à 12:00:58 au 04 février 2017 à 00:02:41"
2017,February,"Sans la maitrise du feu, l’homme moderne devrait manger plus de 9 heures par jour pour alimenter suffisamment son cerveau.
présente 1,5 jours en page d'accueil du 02 février 2017 à 12:00:58 au 04 février 2017 à 00:02:41"
2017,February,"La digue d’Offa près de Clun, dans le Shropshire, en Angleterre.Construite au VIIIe siècle, la digue d’Offa (photo) a préfiguré la frontière entre l’Angleterre et le pays de Galles.
présente 1,5 jours en page d'accueil du 03 février 2017 à 00:02:10 au 04 février 2017 à 12:00:59"
2017,February,"Aux débuts de la Restauration, la droite ultraroyaliste défendait un régime parlementaire et l’élargissement du droit de suffrage aux classes populaires.
présente 1,5 jours en page d'accueil du 03 février 2017 à 00:02:10 au 04 février 2017 à 12:00:59"
2017,February,"Le Soleil est une boule de plasma.L’état de plus de 99 % de la matière ordinaire (photo) n’est ni solide, ni liquide, ni gazeux.
présente 1,5 jours en page d'accueil du 03 février 2017 à 12:00:55 au 05 février 2017 à 00:02:14"
2017,February,"Baton Rouge, Des Moines, Montpelier et Pierre sont capitales d’États des États-Unis.
présente 1,5 jours en page d'accueil du 03 février 2017 à 12:00:55 au 05 février 2017 à 00:02:14"
2017,February,"Dessin d’artiste du Hatzegopteryx thambema.Avec une envergure d’environ 12 mètres, le ptérosaure Hatzegopteryx thambema (dessin d’artiste) est le plus grand reptile volant connu à ce jour.
présente 1,5 jours en page d'accueil du 04 février 2017 à 00:02:41 au 05 février 2017 à 12:01:07"
2017,February,"En 1931, le XV de France fut exclu du Tournoi des Cinq Nations pour son jeu violent et sa pratique du professionnalisme.
présente 1,5 jours en page d'accueil du 04 février 2017 à 00:02:41 au 05 février 2017 à 12:01:07"
2017,February,"Aéroport international de Paro.Du fait de la topographie des lieux, il n’y avait en 2016 que 26 pilotes certifiés dans le monde pour atterrir à l’aéroport international de Paro (photo), au Bhoutan.
présente 1,5 jours en page d'accueil du 04 février 2017 à 12:00:59 au 06 février 2017 à 00:02:14"
2017,February,"Le centre de détention de Casabianda en Corse est la seule prison ouverte de France.
présente 1,5 jours en page d'accueil du 04 février 2017 à 12:00:59 au 06 février 2017 à 00:02:14"
2017,February,"Keith Ellison.Élu en 2006 puis continument réélu, Keith Ellison (portrait) est le premier membre du Congrès des États-Unis à s’être réclamé de l’islam.
présente 1,5 jours en page d'accueil du 05 février 2017 à 00:02:14 au 06 février 2017 à 12:01:13"
2017,February,"Naypyidaw, capitale de la Birmanie depuis 2005, est considérée comme une « ville fantôme ».
présente 1,5 jours en page d'accueil du 05 février 2017 à 00:02:14 au 06 février 2017 à 12:01:13"
2017,February,"n/a légende à ajouter ? .Le requin du Groenland (photo) atteint sa maturité sexuelle vers l’âge de 150 ans.
présente 1,5 jours en page d'accueil du 05 février 2017 à 12:01:07 au 07 février 2017 à 00:02:13"
2017,February,"L’Ionie n’est pas située au bord de la mer Ionienne.
présente 1,5 jours en page d'accueil du 05 février 2017 à 12:01:07 au 07 février 2017 à 00:02:13"
2017,February,"Météoroïde devenant météorite à l’entrée dans l’atmosphère.Le 6 février 2016, en Inde, a eu lieu la première mort humaine scientifiquement imputée à l’impact d’une météorite (animation).
présente 1,5 jours en page d'accueil du 06 février 2017 à 00:02:14 au 07 février 2017 à 12:01:16"
2017,February,"Les faisceaux siciliens — fasci siciliani en italien — sont un mouvement agraire d’inspiration socialiste apparu à la fin du XIXe siècle.
présente 1,5 jours en page d'accueil du 06 février 2017 à 00:02:14 au 07 février 2017 à 12:01:16"
2017,February,"Le symbole de CND, créé par Gerald Holtom en 1958.Le symbole de la paix ☮ a d’abord été le logo de l’organisation Campagne pour le désarmement nucléaire (ci-contre), lui-même tiré de l’alphabet sémaphore.
présente 1,5 jours en page d'accueil du 06 février 2017 à 12:01:13 au 08 février 2017 à 00:02:13"
2017,February,"Le poireau, l’oignon et la ciboulette sont tous des aulx.
présente 1,5 jours en page d'accueil du 06 février 2017 à 12:01:13 au 08 février 2017 à 00:02:13"
2017,February,"Mark C. Lee.Jan Davis.Mark C. Lee (photo du haut) et Jan Davis (photo du bas), premier couple marié américain dans l’espace, avaient caché leur relation à la NASA avant leur départ sur le vol STS-47.
présente 1,5 jours en page d'accueil du 07 février 2017 à 00:02:13 au 08 février 2017 à 12:01:05"
2017,February,"L’enseignement de la théorie de l’évolution utilise comme exemple les bactéries mangeuses de nylon, matière synthétique créée dans les années 1930.
présente 1,5 jours en page d'accueil du 07 février 2017 à 00:02:13 au 08 février 2017 à 12:01:05"
2017,February,"Drapeau de la République de Chine.Selon la loi de la République de Chine (drapeau), la rébellion communiste s’est officiellement achevée le 1er mai 1991.
présente 1,5 jours en page d'accueil du 07 février 2017 à 12:01:16 au 09 février 2017 à 00:02:33"
2017,February,"Adidas et Puma ont été créées par deux frères, Adolf et Rudolf Dassler.
présente 1,5 jours en page d'accueil du 07 février 2017 à 12:01:16 au 09 février 2017 à 00:02:33"
2017,February,"Pie élevée comme animal domestique (détail du portrait de Don Manuel Osorio Manrique de Zuniga, peint par Goya).La pie bavarde (tableau) est la première espèce d’oiseau à avoir réussi le test du miroir.
présente 1,5 jours en page d'accueil du 08 février 2017 à 00:02:13 au 09 février 2017 à 12:00:56"
2017,February,"Le haussement d’épaules est un exercice de musculation.
présente 1,5 jours en page d'accueil du 08 février 2017 à 00:02:13 au 09 février 2017 à 12:00:56"
2017,February,"Représentation graphique du problème des sept ponts de Königsberg.Le problème des sept ponts de Königsberg (dessin) est considéré comme le point de départ de la théorie des graphes.
présente 1,5 jours en page d'accueil du 08 février 2017 à 12:01:05 au 10 février 2017 à 00:02:26"
2017,February,"Charles Aznavour est représentant permanent de l’Arménie auprès de l’Organisation des Nations unies à Genève.
présente 1,5 jours en page d'accueil du 08 février 2017 à 12:01:05 au 10 février 2017 à 00:02:26"
2017,February,"Affiche du film Ben-Hur (1959)La course de chars du Ben-Hur de 1959 (affiche du film) a nécessité 78 jours de prises de vues avec pour certains plans la présence de 15 000 figurants.
présente 1,5 jours en page d'accueil du 09 février 2017 à 00:02:33 au 10 février 2017 à 12:00:56"
2017,February,"Au pays de Galles, à la fin du XIXe siècle, le crâne de saint Théleau était toujours utilisé comme calice pour boire l’eau de la fontaine qui lui était consacrée, dans des rites de guérison.
présente 1,5 jours en page d'accueil du 09 février 2017 à 00:02:33 au 10 février 2017 à 12:00:56"
2017,February,"n/a légende à ajouter ? .Le Croissant (carte) sépare la langue d’oc de la langue d’oïl.
présente 1,5 jours en page d'accueil du 09 février 2017 à 12:00:56 au 11 février 2017 à 00:03:21"
2017,February,"Le test de Bechdel, qui donne une indication sur la place faite aux femmes dans un film, est utilisé par certaines salles de cinéma suédoises pour coter leur programmation.
présente 1,5 jours en page d'accueil du 09 février 2017 à 12:00:56 au 11 février 2017 à 00:03:21"
2017,February,"Édith découvrant le corps d’Harold.Modillon de la salle de l’Échiquier du château de Caen, représentant la tête défigurée d’Harold.Selon le poète Heinrich Heine, Édith au Col de cygne (tableau) aurait reconnu le corps défiguré du roi Harold (sculpture) grâce aux marques laissées par ses propres morsures.
présente 1,5 jours en page d'accueil du 10 février 2017 à 00:02:26 au 11 février 2017 à 12:00:59"
2017,February,"Le béhourd consiste à se battre avec des armes et armures inspirées du Moyen Âge.
présente 1,5 jours en page d'accueil du 10 février 2017 à 00:02:26 au 11 février 2017 à 12:00:59"
2017,February,"Bartholomée Ier recevant de Fidel Castro la clé de Saint-Nicolas, église orthodoxe grecque de La Havane.Fidel Castro a reçu de Bartholomée Ier (mosaïque) la croix sacrée de l’ordre de Saint-André, la plus haute distinction du patriarcat orthodoxe de Constantinople, « en signe de bénédiction et comme symbole de justice et de fermeté ».
présente 1,5 jours en page d'accueil du 10 février 2017 à 12:00:56 au 12 février 2017 à 00:02:57"
2017,February,"Les Îles Cook et Niue, en libre association avec la Nouvelle-Zélande, sont les seuls des 197 États reconnus par l’ONU à n’en être ni membre ni observateur.
présente 1,5 jours en page d'accueil du 10 février 2017 à 12:00:56 au 12 février 2017 à 00:02:57"
2017,February,"Avenue Jean-Jaurès vue en direction de la porte de Pantin.Dans le contexte du déclenchement de la Première Guerre mondiale, l’avenue d’Allemagne à Paris est devenue l’avenue Jean-Jaurès (photo), quelques jours après l’assassinat de ce dernier.
présente 1,5 jours en page d'accueil du 11 février 2017 à 00:03:21 au 12 février 2017 à 12:00:45"
2017,February,"Pierre Chanau est un producteur de vins fictif, anagramme et signature des vins Auchan.
présente 1,5 jours en page d'accueil du 11 février 2017 à 00:03:21 au 12 février 2017 à 12:00:45"
2017,February,"Wang Jianlin.Le propriétaire du plus grand nombre de salles de cinéma aux États-Unis et dans le monde est le Chinois Wang Jianlin (photo).
présente 1,5 jours en page d'accueil du 11 février 2017 à 12:00:59 au 13 février 2017 à 00:02:19"
2017,February,"L’opération Chaton acoustique, lancée par la CIA pour espionner l’URSS, n’a jamais abouti.
présente 1,5 jours en page d'accueil du 11 février 2017 à 12:00:59 au 13 février 2017 à 00:02:19"
2017,February,"Mariage de Napoléon Ier et de Marie-Louise, le 2 avril 1810.Marie-Louise d’Autriche et Napoléon Ier ont vécu leur nuit de noces six jours avant de passer devant le prêtre (tableau).
présente 1,5 jours en page d'accueil du 12 février 2017 à 00:02:57 au 13 février 2017 à 12:01:07"
2017,February,"Ennemis lors de la Seconde Guerre mondiale, l’URSS (puis la Russie en tant qu’État continuateur) et le Japon n’ont toujours pas signé de traité de paix.
présente 1,5 jours en page d'accueil du 12 février 2017 à 00:02:57 au 13 février 2017 à 12:01:07"
2017,February,"La basilique Saint-Jean-de-Latran.Le président de la République française est la seule personne autorisée à entrer à cheval dans la basilique Saint-Jean-de-Latran (photo) de Rome.
présente 1,5 jours en page d'accueil du 12 février 2017 à 12:00:45 au 14 février 2017 à 00:02:46"
2017,February,"Le message lancé par les Beatles sur la pochette britannique de leur album Help! est en fait « Nujv ! »
présente 1,5 jours en page d'accueil du 12 février 2017 à 12:00:45 au 14 février 2017 à 00:02:46"
2017,February,"Une du journal Le Charivari reproduisant un jugement condamnant Charles Philipon pour avoir caricaturé Louis-Philippe sous forme de poire.En 1834, condamné pour avoir caricaturé Louis-Philippe en poire, Le Charivari publia le jugement sous forme d’un calligramme (image) de même apparence.
présente 1,5 jours en page d'accueil du 13 février 2017 à 00:02:19 au 14 février 2017 à 12:01:24"
2017,February,"Stephen Stigler attribue à Robert King Merton la découverte de la loi de Stigler, selon laquelle « une découverte scientifique ne porte jamais le nom de son auteur ».
présente 1,5 jours en page d'accueil du 13 février 2017 à 00:02:19 au 14 février 2017 à 12:01:24"
2017,February,"Petit-duc maculé dans son nid.Le petit-duc maculé (photo) adopte parfois des petits serpents aveugles.
présente 1,5 jours en page d'accueil du 13 février 2017 à 12:01:07 au 15 février 2017 à 00:03:10"
